domain,post_count,degree
getafreelancer.com,13443,0
ca.answers.yahoo.com,26913,0
luchtzak.be,12829,0
finanznachrichten.de,7780,0
ottawa.kijiji.ca,22207,0
saintjohn.kijiji.ca,17744,0
bertelsmann-stiftung.de,9771,0
informador.com.mx,8051,0
haber7.com,8299,0
nyhetsportalen.se,7975,0
ping.sg,9160,0
sitepoint.com,37070,0
thedailysentinel.com,10635,0
ratemydrawings.com,15564,0
chambliss.senate.gov,30232,0
fr.answers.yahoo.com,52115,0
de.answers.yahoo.com,33209,0
linuxquestions.org,7975,0
answers.polldaddy.com,24882,0
times-journal.com,37026,0
seguingazette.com,16152,0
ultimosegundo.ig.com.br,10020,0
br.answers.yahoo.com,7774,0
sulit.com.ph,20251,0
wiki.ffxiclopedia.org,8009,0
newsmeat.com,21747,0
khon.com,9487,0
wordle.net,25816,0
macobserver.com,35528,0
sandmountainreporter.com,14864,0
complaintsboard.com,9142,0
pescurt.ro,21910,0
uk.answers.yahoo.com,7700,0
rainsvilleweeklypost.com,21080,0
forums.seroundtable.com,43219,0
streetinsider.com,8600,0
dictionnaire.tv5.org,15235,0
segnalo.alice.it,9278,0
murmurs.com,16950,0
baytownsun.com,14766,0
cellartracker.com,18004,0
ar.answers.yahoo.com,65054,0
pressemitteilung.ws,8193,0
baycitytribune.com,23510,0
sdbj.com,11547,0
utube.smashits.com,11458,0
sunstkitts.com,8806,0
olhares.aeiou.pt,16794,0
lightboard.com,20076,0
organizedwisdom.com,12675,0
capitolweekly.net,12792,0
timesofoman.com,7577,0
it.answers.yahoo.com,56049,0
york.kijiji.ca,13618,0
ad-hoc-news.de,8163,0
franchisewire.com,42629,0
news.chosun.com,8571,0
herald-zeitung.com,13530,0
kanglaonline.com,23595,0
fr.news.yahoo.com,18175,0
