src,dst,weight
forums.somd.com,baltimoresun.com,9
identi.ca,cbc.ca,9
forum.dvdtalk.com,sfgate.com,9
huffingtonpost.com,chicagotribune.com,9
golivewire.com,amazon.com,9
boston.com,telegraph.co.uk,9
boston.com,latimes.com,9
freerepublic.com,cnn.com,9
freerepublic.com,telegraph.co.uk,9
townhall.com,cnn.com,9
forum.dvdtalk.com,huffingtonpost.com,9
freerepublic.com,latimes.com,9
forums.comicbookresources.com,news.bbc.co.uk,9
news.com.au,washingtonpost.com,9
salon.com,dailymail.co.uk,9
uk.reuters.com,reuters.com,9
mahalo.com,boards.cruisecritic.com,9
postchronicle.com,dailymail.co.uk,9
neighbors.denverpost.com,amazon.com,9
forum.prisonplanet.com,dailymail.co.uk,9
postchronicle.com,nydailynews.com,8
forums.macrumors.com,marketwatch.com,8
inciclopedia.wikia.com,taringa.net,8
huffingtonpost.com,forbes.com,8
golivewire.com,guardian.co.uk,8
tucsoncitizen.com,amazon.com,8
golivewire.com,telegraph.co.uk,8
mahalo.com,freerepublic.com,8
ots.at,prnewswire.com,8
washingtonpost.com,reuters.com,8
washingtonpost.com,guardian.co.uk,8
huffingtonpost.com,philly.com,8
cnn.com,telegraph.co.uk,8
digitalspy.co.uk,theglobeandmail.com,8
rss.feedsportal.com,forbes.com,8
golivewire.com,uncyclopedia.wikia.com,8
postchronicle.com,cnn.com,8
huffingtonpost.com,nydailynews.com,8
us.rd.yahoo.com,philly.com,8
digitalspy.co.uk,blogs.myspace.com,8
cnn.com,washingtonpost.com,8
salon.com,chron.com,8
digitalspy.co.uk,nydailynews.com,8
chacha.com,indeed.com,8
chacha.com,nydailynews.com,8
us.rd.yahoo.com,indeed.com,7
bizjournals.com,topix.net,7
lostpedia.wikia.com,amazon.com,7
golivewire.com,huffingtonpost.com,7
pr-inside.com,washingtonpost.com,7
philly.com,reuters.com,7
us.rd.yahoo.com,uk.reuters.com,7
philly.com,amazon.com,7
mahalo.com,sfbay.craigslist.org,7
latimes.com,forbes.com,7
rss.feedsportal.com,cnn.com,7
golivewire.com,reuters.com,7
digitalspy.co.uk,reuters.com,7
freerepublic.com,sfgate.com,7
boston.com,billboard.com,7
sfgate.com,amazon.com,7
us.rd.yahoo.com,sfgate.com,7
forums.somd.com,chicagotribune.com,7
friendstertalk.com,mashget.com,7
latimes.com,news.bbc.co.uk,7
news.bbc.co.uk,telegraph.co.uk,7
rss.feedsportal.com,washingtonpost.com,7
rss.feedsportal.com,sfgate.com,7
guardian.co.uk,uk.reuters.com,7
answerbag.com,amazon.com,7
philly.com,huffingtonpost.com,7
baltimoresun.com,newsday.com,7
chacha.com,seattletimes.nwsource.com,7
chacha.com,cbc.ca,7
chacha.com,reuters.com,7
chicagotribune.com,latimes.com,6
theglobeandmail.com,cbc.ca,6
earthtimes.org,startribune.com,6
frikipedia.es,inciclopedia.wikia.com,6
news.com.au,news.bbc.co.uk,6
kansascity.com,amazon.com,6
sfgate.com,huffingtonpost.com,6
bogleheads.org,forbes.com,6
baltimoresun.com,theglobeandmail.com,6
freerepublic.com,reuters.com,6
digitalspy.co.uk,vz.ru,6
freerepublic.com,townhall.com,6
cnn.com,chicagotribune.com,6
digitalspy.co.uk,boston.com,6
newsday.com,boston.com,6
us.rd.yahoo.com,kansascity.com,6
chron.com,washingtonpost.com,6
philly.com,prnewswire.com,6
freerepublic.com,breitbart.com,6
desciclo.pedia.ws,g1.globo.com,6
digitalspy.co.uk,answers.yahoo.com,6
sportsnipe.com,thefacts.com,6
vz.ru,regnum.ru,6
washingtonpost.com,telegraph.co.uk,6
forums.macrumors.com,latimes.com,6
neighbors.denverpost.com,huffingtonpost.com,6
townhall.com,telegraph.co.uk,6
us.rd.yahoo.com,news.com.au,6
freerepublic.com,huffingtonpost.com,6
news.bbc.co.uk,dailymail.co.uk,6
sportsnipe.com,pr-inside.com,6
sfgate.com,yelp.com,6
digitalspy.co.uk,cnn.com,6
chacha.com,abc.net.au,6
chacha.com,freerepublic.com,6
chacha.com,slideshare.net,6
digitalspy.co.uk,investegate.co.uk,6
sportsnipe.com,seekingalpha.com,6
digitalspy.co.uk,uk.reuters.com,6
forums.bit-tech.net,guardian.co.uk,6
latimes.com,sfgate.com,6
mahalo.com,forums.slickdeals.net,6
sfgate.com,dailymail.co.uk,5
seekingalpha.com,news.bbc.co.uk,5
reuters.com,breitbart.com,5
identi.ca,forbes.com,5
identi.ca,slideshare.net,5
ameblo.jp,telegraph.co.uk,5
mahalo.com,digitalspy.co.uk,5
identi.ca,blog.livedoor.jp,5
latimes.com,washingtonpost.com,5
baltimoresun.com,nydailynews.com,5
rss.feedsportal.com,chicagotribune.com,5
newsday.com,chicagotribune.com,5
washingtondc.craigslist.org,washingtonpost.com,5
mahalo.com,marketwire.com,5
baltimoresun.com,tucsoncitizen.com,5
digitalspy.co.uk,breitbart.com,5
rss.feedsportal.com,huffingtonpost.com,5
washingtonpost.com,marketwatch.com,5
baltimoresun.com,amazon.com,5
huffingtonpost.com,seattletimes.nwsource.com,5
cnn.com,huffingtonpost.com,5
cnn.com,losangeles.craigslist.org,5
forum.prisonplanet.com,news.com.au,5
mashget.com,sacbee.com,5
postchronicle.com,boston.com,5
us.rd.yahoo.com,theglobeandmail.com,5
townhall.com,forbes.com,5
forbes.com,guardian.co.uk,5
breitbart.com,startribune.com,5
forum.dvdtalk.com,kansascity.com,5
uncyclopedia.wikia.com,uk.reuters.com,5
forum.prisonplanet.com,breitbart.com,5
pr-inside.com,slideshare.net,5
pr-inside.com,latimes.com,5
forum.prisonplanet.com,boston.com,5
chacha.com,fixya.com,5
chacha.com,chicagotribune.com,5
chacha.com,news.com.au,5
forum.prisonplanet.com,abc.net.au,5
amazon.com,nydailynews.com,5
